"City","State","lat","lng"
"Albion","MI",42.2906,-84.792885
"Albion","NE",41.648736,-98.011092
"Albion","NY",43.235143,-78.194251
"Albion","OK",34.418801,-95.358406
"Albion","PA",42.0387,-80.187998
"Albion","RI",41.954098,-71.462053
"Albion","WA",46.934379,-117.412136
"Alborn","MN",47.014861,-92.612312
"Albright","WV",39.516364,-79.617653
"Albrightsville","PA",41.012618,-75.560751
"Albuquerque","NM",35.0717557209302,-106.624066372093
"Alburg","VT",44.93606,-73.289065
"Alburnett","IA",42.157086,-91.645825
"Alburtis","PA",40.514472,-75.602941
"Alcalde","NM",36.064687,-106.077688
"Alcester","SD",42.931698,-96.624298
"Alco","AR",35.91896,-92.127207
"Alcoa","TN",35.815758,-83.987698
"Alcolu","SC",33.685155,-80.190733
"Alcova","WY",42.530223,-106.759971
"Alcove","NY",42.482455,-73.936671
"Alda","NE",40.860721,-98.504787
"Alden","IA",42.430997,-93.390638
"Alden","IL",42.324761,-88.452481
"Alden","KS",38.233295,-98.316515
"Alden","MI",44.900641,-85.232932
"Alden","MN",43.733525,-93.532143
"Alden","NY",42.872937,-78.528446
"Aldenville","PA",41.615989,-75.274708
"Alder","MT",45.193898,-112.056807
"Alder Creek","NY",43.419596,-75.224784
"Alderpoint","CA",40.13049,-123.602161
"Alderson","OK",34.904489,-95.69806
"Alderson","WV",37.84394,-80.572401
"Aldie","VA",38.957718,-77.60375
"Aldrich","MN",46.379683,-94.936381
"Aldrich","MO",37.534753,-93.543226
"Aledo","IL",41.197762,-90.730944
"Aledo","TX",32.681918,-97.779522
"Aleknagik","AK",58.962101,-163.118947
"Aleppo","PA",39.870635,-80.211335
"Alex","OK",34.914788,-97.78122
"Alexander","AR",34.694468,-92.425087
"Alexander","IA",42.819841,-93.429379
"Alexander","IL",39.751657,-90.045839
"Alexander","KS",38.470116,-99.553222
"Alexander","NC",35.628016,-82.556751
"Alexander","ND",47.737435,-103.298383
"Alexander","NY",42.917622,-78.264873
"Alexander City","AL",32.960135,-85.8815135
"Alexandria","AL",33.780861,-85.904456
"Alexandria","IN",40.213154,-85.680698
"Alexandria","KY",38.921584,-84.374584
"Alexandria","LA",31.1891691428571,-92.4748657142857
"Alexandria","MN",45.902017,-95.420589
"Alexandria","MO",40.357643,-91.45886
"Alexandria","NE",40.244068,-97.386612
"Alexandria","OH",40.100513,-82.612389
"Alexandria","PA",40.54851,-78.095064
"Alexandria","SD",43.66844,-97.75632
"Alexandria","TN",36.034524,-85.997115
"Alexandria","VA",38.7983415,-77.1022813636364
"Alexandria Bay","NY",44.074604,-75.840719
"Alexis","IL",41.136994,-90.631224
"Alexis","NC",35.365255,-81.087967
"Alford","FL",30.641158,-85.375585
"Alfred","ME",43.467224,-70.738992
"Alfred","NY",42.240535,-77.783192
"Alfred Sttion","NY",42.254097,-77.799317
"Alger","MI",44.324353,-84.162443
"Alger","OH",40.679192,-83.795649
"Algodones","NM",35.337752,-106.392905
"Algoma","MS",34.171543,-89.032791
"Algoma","WI",44.596017,-87.540266
"Algona","IA",43.109313,-94.166994
"Algonac","MI",42.614984,-82.597768
"Algonquin","IL",42.280715,-88.461937
"Alhambra","CA",33.786594,-118.298662
"Alhambra","IL",38.882109,-89.739366
"Alice","TX",27.681651,-98.0338135
"Aliceville","AL",33.236962,-88.061517
"Alicia","AR",35.952057,-91.030074
"Alief","TX",29.83399,-95.434241
"Aline","OK",36.51176,-98.449895
"Aliquippa","PA",40.675225,-80.304178
"Aliso Viejo","CA",33.6218805,-117.7603915
"Alix","AR",35.43356,-93.752642
"Alkol","WV",38.167112,-81.968862
"Allakaket","AK",65.226375,-151.025085
"Allamuchy","NJ",40.869648,-74.849661
"Allardt","TN",36.381838,-84.775579
"Alledonia","OH",39.894917,-80.980056
"Alleene","AR",33.778125,-94.270165
"Allegan","MI",42.539295,-85.894873
"Allegany","NY",42.116168,-78.516218
"Allegany","OR",43.246918,-124.231068
"Alleghany","CA",39.466324,-120.829633
"Allegre","KY",36.929243,-87.219328
"Alleman","IA",41.813089,-93.609929
"Allen","KS",38.652011,-96.173461
"Allen","KY",37.479896,-82.6769
"Allen","MD",38.388434,-75.6276
"Allen","MI",41.956346,-84.767913
"Allen","NE",42.445278,-96.884378
"Allen","OK",34.869145,-96.415107
"Allen","SD",43.193203,-101.66933
"Allen","TX",33.163339,-96.6620505
"Allen Junction","WV",37.603344,-81.53998
"Allen Park","MI",42.27633,-83.194425
"Allendale","IL",38.527638,-87.706344
"Allendale","MI",42.979522,-85.93927
"Allendale","MO",40.478118,-94.423294
"Allendale","NJ",41.017446,-74.062774
"Allendale","SC",32.990158,-81.287561
"Allendorf","IA",43.415305,-95.643435
"Allenhurst","GA",31.779116,-81.60385
"Allenhurst","NJ",40.2699145,-74.1289305
"Allenport","PA",40.095888,-79.849887
"Allenspark","CO",40.210184,-105.50795
"Allensville","KY",36.720672,-87.104104
"Allensville","PA",40.539667,-77.790168
"Allenton","MI",42.938828,-82.919818
"Allenton","MO",38.638318,-90.427118
"Allenton","WI",43.382128,-88.26219
"Allentown","GA",32.606433,-83.20951
"Allentown","NJ",40.149712,-74.539598
"Allentown","NY",42.073739,-78.059374
"Allentown","PA",40.619383,-75.5226357777778
"Allenwood","NJ",40.138878,-74.11221
"Allenwood","PA",40.978059,-77.08184
"Allerton","IA",40.672872,-93.405589
"Allerton","IL",39.923693,-87.899719
"Alleyton","TX",29.709171,-96.486458
"Allgood","AL",33.922162,-86.449262
"Alliance","NC",35.156145,-76.632264
"Alliance","NE",42.219844,-103.073327
"Alliance","OH",40.820292,-81.335275
"Alligator","MS",34.074216,-90.75974
"Allison","IA",42.697108,-92.7981
"Allison","PA",39.986828,-79.863732
"Allison","TX",35.401181,-100.270306
"Allison Park","PA",40.434436,-80.024817
"Allons","TN",36.481086,-85.346687
"Allouez","MI",47.287939,-88.412893
"Alloway","NJ",39.559077,-75.350573
"Alloy","WV",38.041293,-81.064784
"Allport","PA",40.989115,-78.422403
"Allred","TN",36.323952,-85.203098
"Allston","MA",42.357169,-71.112646
"Allyn","WA",47.322429,-122.984003
"Alma","AL",31.482494,-87.880106
"Alma","AR",35.479157,-94.193334
"Alma","CO",39.297972,-106.063548
"Alma","GA",31.576952,-82.461197
"Alma","IL",38.758394,-88.929039
"Alma","KS",38.953556,-96.204558
"Alma","MI",43.3440335,-84.6484155
"Alma","MO",39.105644,-93.590916
"Alma","NE",40.101761,-99.352846
"Alma","NY",42.025431,-78.084837
"Alma","WI",44.346721,-91.836481
"Alma","WV",39.450612,-80.870081
"Alma Center","WI",44.451027,-90.975918
"Almelund","MN",45.513447,-92.894239
"Almena","KS",39.891272,-99.711523
"Almena","WI",45.434373,-91.965942
"Almira","WA",47.529705,-118.599193
"Almo","ID",42.084606,-113.628255
"Almo","KY",36.690186,-88.283872
"Almond","NC",35.409905,-83.479397
"Almond","NY",42.313285,-77.851286
"Almond","WI",44.379544,-89.356552
"Almont","CO",38.820006,-106.660278
"Almont","MI",42.934027,-83.052481
"Almont","ND",46.720185,-101.498156
"Almyra","AR",34.38443,-91.392364
"Alna","ME",44.008962,-69.566684
"Alpaugh","CA",35.85829,-119.303735
"Alpena","AR",36.310814,-93.252276
"Alpena","MI",45.033143,-83.495091
"Alpena","SD",44.122811,-98.412198
"Alpha","IL",41.20188,-90.245619
"Alpha","KY",36.751732,-85.135354
"Alpha","MI",46.030951,-88.377097
"Alpha","MN",43.674174,-95.154494
"Alpha","OH",39.706459,-84.016233
"Alpharetta","GA",33.9812268,-84.3441032
"Alpine","AL",33.403969,-86.233878
"Alpine","AR",34.055486,-93.189406
"Alpine","AZ",34.177052,-109.240647
"Alpine","CA",32.878869,-116.9111935
"Alpine","NJ",40.958975,-73.927906
"Alpine","NY",42.375566,-76.732706
"Alpine","TN",36.364735,-85.189932
"Alpine","TX",30.3858756666667,-103.672861333333
"Alpine","UT",40.459133,-111.773164
"Alpine","WY",43.030327,-110.884515
"Alplaus","NY",42.859176,-73.902117
"Alsea","OR",44.377113,-123.588271
"Alsen","ND",48.77178,-98.464102
"Alsey","IL",39.551987,-90.386156
"Alsip","IL",41.811929,-87.68732
"Alstead","NH",43.134412,-72.310623
"Alston","GA",32.077458,-82.482488
"Alta","CA",39.214162,-120.795987
"Alta","IA",42.735364,-95.151121
"Alta Vista","IA",43.13992,-92.424719
"Alta Vista","KS",38.864507,-96.488112
"Altadena","CA",33.786594,-118.298662
"Altair","TX",29.60466,-96.524899
"Altamahaw","NC",36.185517,-79.505479
"Altamont","IL",39.053436,-88.719754
"Altamont","KS",37.222616,-95.360819
"Altamont","MO",39.893337,-94.090928
"Altamont","NY",42.688731,-74.030596
"Altamont","TN",35.360328,-85.789682
"Altamont","UT",40.320728,-110.435974
"Altamonte Springs","FL",28.71109625,-81.272992
"Altaville","CA",38.092294,-120.535316
"Altavista","VA",37.225543,-79.24118
"Altenburg","MO",37.627908,-89.574503
"Altha","FL",30.553171,-85.171315
"Altheimer","AR",34.284273,-91.698007
"Altmar","NY",43.497512,-75.988154
"Alto","GA",34.5668405,-83.552346
"Alto","MI",42.856096,-85.402859
"Alto","NM",33.388573,-105.652113
"Alto","TX",31.806668,-95.142971
"Alto Pass","IL",37.546479,-89.357896
"Alton","AL",33.544622,-86.929208
"Alton","IA",43.03801,-95.970314
"Alton","IL",38.929065,-89.968862
"Alton","KS",39.430147,-98.928883
"Alton","MO",36.692896,-91.397129
"Alton","NH",43.462586,-71.222455
"Alton","NY",43.222735,-76.982149
"Alton","UT",37.438637,-112.482285
"Alton","VA",36.596827,-79.043054
"Alton Bay","NH",43.502514,-71.277387
"Altona","IL",41.096307,-90.138335
"Altona","NY",44.865209,-73.577683
"Altonah","UT",40.320728,-110.435974
"Altoona","AL",34.07097,-86.209599
"Altoona","FL",29.059052,-81.581964
"Altoona","IA",41.65097,-93.4685
"Altoona","KS",37.525023,-95.661801
"Altoona","PA",40.4998073333333,-78.380848
"Altoona","WI",44.803612,-91.442253
"Altura","MN",44.085616,-91.946134
"Alturas","CA",41.433984,-120.640865
"Alturas","FL",28.002553,-81.61864
"Altus","AR",35.434638,-93.759811
"Altus","OK",34.693417,-99.3321355
"Altus Afb","OK",34.598197,-99.440839
"Alum Bank","PA",40.198627,-78.622801
"Alum Bridge","WV",39.09078,-80.470734
"Alum Creek","WV",38.243675,-81.771226
"Alva","FL",26.595182,-81.6815
"Alva","OK",36.826594,-98.640045
"Alva","WY",44.68734,-104.441353
"Alvada","OH",41.054782,-83.391792
"Alvadore","OR",44.127631,-123.266648
"Alvarado","MN",48.191085,-96.998433
"Alvarado","TX",32.421034,-97.196279
"Alvaton","KY",36.866699,-86.348542
"Alverda","PA",40.633313,-78.872314
"Alverton","PA",40.360223,-79.439801
"Alvin","IL",40.285456,-87.632675
"Alvin","TX",29.3502965,-95.341049
"Alviso","CA",37.189396,-121.705327
"Alvo","NE",40.885316,-96.37898
"Alvord","IA",43.352717,-96.311777
"Alvord","TX",33.355828,-97.708353
"Alvordton","OH",41.577786,-84.584125
"Alzada","MT",45.567085,-104.539066
"Ama","LA",29.947005,-90.295997
"Amado","AZ",31.672252,-111.09862
"Amador City","CA",38.418568,-120.831845
"Amagansett","NY",40.922326,-72.637078
"Amagon","AR",35.502463,-91.081687
"Amalia","NM",36.803628,-105.585441
"Amana","IA",41.7492965,-91.988736
"Amanda","OH",39.698161,-82.688692
"Amanda Park","WA",47.485913,-123.920555
"Amargosa Valley","NV",36.539018,-116.549634
"Amarillo","TX",35.3056163658537,-101.878376707317
"Amasa","MI",46.249415,-88.417593
"Amawalk","NY",41.293169,-73.759033
"Amazonia","MO",39.908392,-94.923508
"Amber","OK",35.031247,-97.881959
"Amberg","WI",45.492839,-88.049604
"Amberson","PA",40.171667,-77.661354
"Ambia","IN",40.527877,-87.499343
"Ambler","AK",66.868442,-159.843924
"Ambler","PA",40.180876,-75.215621
"Amboy","CA",34.6122,-115.800458
"Amboy","IL",41.721016,-89.299671
"Amboy","IN",40.650476,-85.943552
"Amboy","MN",43.886884,-94.15839
"Amboy","WA",45.923556,-122.450194
"Ambridge","PA",40.600494,-80.210521
